id,segment_id,scene_id,start,end
334-3,1,1,1:59,2:01
334-3,2,2,3:56,3:58
335-1,0,0,0:28,0:50
335-1,1,1,7:13,7:14
335-1,2,2,7:23,7:30
335-1,3,3,7:44,7:55
335-1,4,4,8:41,8:51
335-1,5,5,8:58,9:18
339-3,0,0,5:49,5:54
340-2,0,0,2:16,2:27
342-2,0,0,0:00,0:19
342-2,1,0,0:23,0:59
342-2,2,0,1:43,3:21
342-2,3,0,3:30,3:47
342-2,4,0,3:56,4:47
342-2,5,0,5:03,6:29
342-2,6,0,7:06,7:31
342-2,7,0,7:42,7:47
342-2,8,0,8:08,8:59
342-2,9,0,9:28,9:57
342-3,0,0,5:16,5:43
342-3,1,0,6:02,6:17
342-3,2,0,6:24,6:29
343-1,0,0,1:18,1:18
343-2,0,0,2:05,7:54
344-1,0,0,3:09,3:26
345-1,0,0,0:50,0:56
345-2,0,0,3:55,4:15
346-2,0,0,1:56,2:12
346-2,1,0,3:20,3:25
346-3,0,0,0:16,0:18
346-3,1,0,3:22,3:26
346-3,2,0,4:47,4:55
347-2,0,0,1:43,1:49
347-2,1,0,1:52,1:54
347-2,2,1,1:50,1:51
348-1,0,0,4:09,4:17
349-3,0,0,2:13,2:17
349-3,1,1,4:32,4:40
349-3,2,2,7:56,7:59
349-3,3,3,10:51,11:01
351-1,0,0,0:00,0:10
351-1,1,0,0:22,0:31
351-1,2,0,0:54,1:09
351-1,3,0,1:17,1:20
351-1,4,0,1:47,2:07
351-1,5,0,2:51,3:00
351-1,6,0,3:13,3:25
351-1,7,0,4:07,4:21
351-1,8,0,4:44,4:50
351-1,9,0,5:04,5:20
351-1,10,0,6:10,6:34
351-1,11,0,7:35,7:46
351-1,12,0,9:17,9:33
351-1,13,0,10:33,11:17
351-3,0,0,4:57,4:57
351-3,1,1,5:36,5:43
351-3,2,2,9:55,9:58
352-1,0,0,2:35,2:43
353-1,0,0,0:00,0:13
353-2,0,0,0:35,0:53
353-2,1,0,1:14,1:22
353-2,2,0,2:31,2:50
353-2,3,0,4:08,4:25
353-2,4,0,5:22,5:49
353-2,5,0,7:12,7:27
353-2,6,0,8:27,8:41
353-2,7,0,9:39,10:01
355-2,0,0,2:26,2:34
356-1,0,0,1:58,2:01
356-1,1,0,2:32,2:39
356-3,0,0,7:22,7:24
357-1,0,0,0:28,0:31
357-1,1,0,5:18,5:24
357-1,2,0,9:04,9:08
